genus,CO2.Herbicide,Week,Status
Bromus,ambient.recom,3,0
Bromus,ambient.recom,3,0
Bromus,ambient.recom,3,0
Bromus,ambient.recom,3,0
Bromus,ambient.recom,3,0
Bromus,ambient.recom,3,0
Bromus,ambient.recom,3,1
Bromus,ambient.recom,3,1
Bromus,ambient.recom,3,1
Bromus,ambient.recom,3,1
Bromus,elevated.recom,3,0
Bromus,elevated.recom,3,0
Bromus,elevated.recom,3,0
Bromus,elevated.recom,3,1
Bromus,elevated.recom,3,1
Bromus,elevated.recom,3,1
Bromus,elevated.recom,3,1
Bromus,elevated.recom,3,1
Bromus,elevated.recom,3,1
Bromus,elevated.recom,3,1
Bromus,ambient.double,4,0
Bromus,ambient.double,4,0
Bromus,ambient.double,4,1
Bromus,ambient.double,4,1
Bromus,ambient.double,4,1
Bromus,ambient.double,4,1
Bromus,ambient.double,4,1
Bromus,ambient.double,4,1
Bromus,ambient.double,4,1
Bromus,ambient.double,4,1
Bromus,elevated.double,4,0
Bromus,elevated.double,4,1
Bromus,elevated.double,4,1
Bromus,elevated.double,4,1
Bromus,elevated.double,4,1
Bromus,elevated.double,4,1
Bromus,elevated.double,4,1
Bromus,elevated.double,4,1
Bromus,elevated.double,4,1
Bromus,elevated.double,4,1
Bromus,ambient.recom,4,0
Bromus,ambient.recom,4,0
Bromus,ambient.recom,4,0
Bromus,ambient.recom,4,0
Bromus,ambient.recom,4,0
Bromus,ambient.recom,4,1
Bromus,ambient.recom,4,1
